State,Date,Monthly COVID Rate
New York,2020-11-01,56.9
New York,2020-12-01,156.1
New York,2021-01-01,140.1
New York,2021-02-01,48.2
New York,2021-03-01,40.3
New York,2021-04-01,51.8
New York,2021-05-01,35.9
New York,2021-06-01,9.4
New York,2021-07-01,9.4
New York,2021-08-01,34.7
New York,2021-09-01,49.5
New York,2021-10-01,50.5
New York,2021-11-01,80.7
New York,2021-12-01,107.6
New York,2022-01-01,141.1
New York,2022-02-01,44.9
New York,2022-03-01,21.7
New York,2022-04-01,55.3
New York,2022-05-01,74.7
New York,2022-06-01,37.1
New York,2022-07-01,40.8
New York,2022-08-01,45.8
New York,2022-09-01,51.7
New York,2022-10-01,63.0
New York,2022-11-01,45.3
New York,2022-12-01,54.6
New York,2023-01-01,53.5
New York,2023-02-01,47.0
New York,2023-03-01,39.2
New York,2023-04-01,23.6
New York,2023-05-01,15.3
New York,2023-06-01,8.2
New York,2023-07-01,8.4
New York,2023-08-01,16.6
New York,2023-09-01,28.5
New York,2023-10-01,31.1
New York,2023-11-01,30.6
New York,2023-12-01,48.4
Ohio,2020-03-01,6.4
Ohio,2020-04-01,20.8
Ohio,2020-05-01,21.9
Ohio,2020-06-01,14.7
Ohio,2020-07-01,24.9
Ohio,2020-08-01,14.6
Ohio,2020-09-01,13.8
Ohio,2020-10-01,18.5
Ohio,2020-11-01,41.6
Ohio,2020-12-01,35.9
Ohio,2021-01-01,22.6
Ohio,2021-02-01,9.7
Ohio,2021-03-01,8.0
Ohio,2021-04-01,11.2
Ohio,2021-05-01,7.5
Ohio,2021-06-01,3.5
Ohio,2021-07-01,5.6
Ohio,2021-08-01,18.3
Ohio,2021-09-01,31.3
Ohio,2021-10-01,22.2
Ohio,2021-11-01,27.4
Ohio,2021-12-01,48.5
Ohio,2022-01-01,65.2
Ohio,2022-02-01,21.7
Ohio,2022-03-01,10.2
Ohio,2022-04-01,14.5
Ohio,2022-05-01,22.4
Ohio,2022-06-01,27.6
Ohio,2022-07-01,34.0
Ohio,2022-08-01,44.8
Ohio,2022-09-01,34.0
Ohio,2022-10-01,23.0
Ohio,2022-11-01,25.1
Ohio,2022-12-01,37.3
Ohio,2023-01-01,23.7
Ohio,2023-02-01,18.1
Ohio,2023-03-01,19.2
Ohio,2023-04-01,8.8
Ohio,2023-05-01,6.1
Ohio,2023-06-01,3.0
Ohio,2023-07-01,3.9
Ohio,2023-08-01,8.1
Ohio,2023-09-01,15.0
Ohio,2023-10-01,12.9
Ohio,2023-11-01,16.3
Ohio,2023-12-01,26.5
Oregon,2020-03-01,7.8
Oregon,2020-04-01,12.1
Oregon,2020-05-01,5.1
Oregon,2020-06-01,8.7
Oregon,2020-07-01,15.0
Oregon,2020-08-01,14.8
Oregon,2020-09-01,13.3
Oregon,2020-10-01,14.5
Oregon,2020-11-01,45.8
Oregon,2020-12-01,46.9
Oregon,2021-01-01,31.5
Oregon,2021-02-01,14.6
Oregon,2021-03-01,11.6
Oregon,2021-04-01,21.2
Oregon,2021-05-01,22.3
Oregon,2021-06-01,11.5
Oregon,2021-07-01,9.2
Oregon,2021-08-01,28.0
Oregon,2021-09-01,37.9
Oregon,2021-10-01,25.6
Oregon,2021-11-01,22.6
Oregon,2021-12-01,26.6
Oregon,2022-01-01,74.1
Oregon,2022-02-01,40.4
Oregon,2022-03-01,15.7
Oregon,2022-04-01,14.8
Oregon,2022-05-01,32.3
Oregon,2022-06-01,38.4
Oregon,2022-07-01,42.1
Oregon,2022-08-01,35.2
Oregon,2022-09-01,25.3
Oregon,2022-10-01,21.8
Oregon,2022-11-01,30.2
Oregon,2022-12-01,34.4
Oregon,2023-01-01,22.6
Oregon,2023-02-01,19.4
Oregon,2023-03-01,17.4
Oregon,2023-04-01,12.9
Oregon,2023-05-01,8.7
Oregon,2023-06-01,6.6
Oregon,2023-07-01,7.3
Oregon,2023-08-01,13.5
Oregon,2023-09-01,20.3
Oregon,2023-10-01,20.2
Oregon,2023-11-01,15.2
Oregon,2023-12-01,19.9
Tennessee,2020-03-01,16.8
Tennessee,2020-04-01,21.7
Tennessee,2020-05-01,20.5
Tennessee,2020-06-01,28.2
Tennessee,2020-07-01,54.3
Tennessee,2020-08-01,35.6
Tennessee,2020-09-01,28.3
Tennessee,2020-10-01,47.5
Tennessee,2020-11-01,89.9
Tennessee,2020-12-01,119.9
Tennessee,2021-01-01,96.4
Tennessee,2021-02-01,40.2
Tennessee,2021-03-01,38.2
Tennessee,2021-04-01,34.0
Tennessee,2021-05-01,17.1
Tennessee,2021-06-01,6.9
Tennessee,2021-07-01,25.7
Tennessee,2021-08-01,98.9
Tennessee,2021-09-01,94.2
Tennessee,2021-10-01,31.1
Tennessee,2021-11-01,25.2
Tennessee,2021-12-01,54.7
Tennessee,2022-01-01,133.0
Tennessee,2022-02-01,48.9
Tennessee,2022-03-01,9.2
Tennessee,2022-04-01,5.1
Tennessee,2022-05-01,15.9
Tennessee,2022-06-01,29.2
Tennessee,2022-07-01,46.4
Tennessee,2022-08-01,41.9
Tennessee,2022-09-01,25.2
Tennessee,2022-10-01,15.1
Tennessee,2022-11-01,18.7
Tennessee,2022-12-01,32.0
Tennessee,2023-01-01,28.3
Tennessee,2023-02-01,22.5
Tennessee,2023-03-01,14.2
Tennessee,2023-04-01,9.5
Tennessee,2023-05-01,7.2
Tennessee,2023-06-01,3.3
Tennessee,2023-07-01,8.5
Tennessee,2023-08-01,19.8
Tennessee,2023-09-01,16.0
Tennessee,2023-10-01,11.5
Tennessee,2023-11-01,15.7
Tennessee,2023-12-01,22.7
Utah,2020-03-01,4.5
Utah,2020-04-01,15.8
Utah,2020-05-01,18.5
Utah,2020-06-01,26.7
Utah,2020-07-01,33.5
Utah,2020-08-01,21.5
Utah,2020-09-01,28.6
Utah,2020-10-01,44.7
Utah,2020-11-01,76.7
Utah,2020-12-01,63.8
Utah,2021-01-01,58.7
Utah,2021-02-01,25.7
Utah,2021-03-01,18.3
Utah,2021-04-01,15.7
Utah,2021-05-01,17.4
Utah,2021-06-01,16.2
Utah,2021-07-01,28.3
Utah,2021-08-01,39.3
Utah,2021-09-01,46.8
Utah,2021-10-01,39.8
Utah,2021-11-01,37.8
Utah,2021-12-01,38.9
Utah,2022-01-01,104.2
Utah,2022-02-01,40.4
Utah,2022-03-01,12.1
Utah,2022-04-01,7.1
Utah,2022-05-01,17.2
Utah,2022-06-01,36.0
Utah,2022-07-01,34.5
Utah,2022-08-01,24.4
Utah,2022-09-01,16.7
Utah,2022-10-01,12.8
Utah,2022-11-01,23.7
Utah,2022-12-01,25.3
Utah,2023-01-01,15.3
Utah,2023-02-01,14.5
Utah,2023-03-01,13.1
Utah,2023-04-01,8.2
Utah,2023-05-01,6.7
Utah,2023-06-01,4.0
Utah,2023-07-01,4.1
Utah,2023-08-01,7.3
Utah,2023-09-01,10.7
Utah,2023-10-01,10.7
Utah,2023-11-01,17.0
Utah,2023-12-01,18.9
